#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ANKRD26	SMC4	9541.XP_005564890.1	9541.XP_005546302.1	0	0	0	0	0	0.052	0	0.898	0.899
ANKRD26	PLK4	9541.XP_005564890.1	9541.XP_005555946.1	0	0	0	0	0	0.092	0.128	0.333	0.425
ANKRD26	SMC1A	9541.XP_005564890.1	9541.XP_005593702.1	0	0	0	0	0.061	0.052	0	0.713	0.722
ANKRD26	SMC3	9541.XP_005564890.1	9541.XP_005566468.1	0	0	0	0	0.082	0.052	0	0.766	0.779
ANKRD26	SMC1B	9541.XP_005564890.1	9541.XP_005567069.1	0	0	0	0	0.062	0.052	0	0.875	0.879
ANKRD26	SMC2	9541.XP_005564890.1	9541.XP_005581210.1	0	0	0	0	0	0.052	0	0.964	0.964
ASPM	NUF2	9541.XP_005540367.1	9541.XP_005539887.1	0	0	0	0	0.720	0	0	0.299	0.795
ASPM	CDK17	9541.XP_005540367.1	9541.XP_005571975.1	0	0	0	0	0.276	0.048	0	0.235	0.426
ASPM	MSH6	9541.XP_005540367.1	9541.XP_005575994.1	0	0	0	0	0.466	0	0	0.054	0.473
ASPM	CDK2	9541.XP_005540367.1	9541.XP_005571205.1	0	0	0	0	0.276	0.048	0	0.301	0.476
ASPM	NIPBL	9541.XP_005540367.1	9541.XP_005556789.1	0	0	0	0	0.058	0	0	0.485	0.494
ASPM	CHTF18	9541.XP_005540367.1	9541.XP_005590877.1	0	0	0	0	0.389	0	0	0.237	0.513
ASPM	ESCO1	9541.XP_005540367.1	9541.XP_005587116.1	0	0	0	0	0.498	0	0	0.086	0.521
ASPM	WRN	9541.XP_005540367.1	9541.XP_005563073.1	0	0	0	0	0.519	0	0	0.058	0.527
ASPM	POLA2	9541.XP_005540367.1	9541.XP_005577355.1	0	0	0	0	0.598	0	0	0	0.598
ASPM	MCMDC2	9541.XP_005540367.1	9541.XP_005563516.1	0	0	0	0	0.601	0	0	0.068	0.612
ASPM	MCM8	9541.XP_005540367.1	9541.XP_005568447.1	0	0	0	0	0.601	0	0	0.068	0.612
ASPM	PCNA	9541.XP_005540367.1	9541.XP_005568461.1	0	0	0	0	0.642	0	0	0	0.642
ASPM	MCM9	9541.XP_005540367.1	9541.XP_005551740.1	0	0	0	0	0.642	0	0	0.044	0.643
ASPM	LIG1	9541.XP_005540367.1	9541.XP_005589781.1	0	0	0	0	0.645	0	0	0	0.645
ASPM	MCM3	9541.XP_005540367.1	9541.XP_005552813.1	0	0	0	0	0.666	0	0	0.042	0.666
ASPM	PLK5	9541.XP_005540367.1	9541.XP_005588682.1	0	0	0	0	0.578	0.218	0	0.085	0.671
ASPM	MCM2	9541.XP_005540367.1	9541.XP_005571855.1	0	0	0	0	0.667	0	0	0.083	0.681
ASPM	POLA1	9541.XP_005540367.1	9541.XP_005593254.1	0	0	0	0	0.684	0	0	0	0.684
ASPM	CDC45	9541.XP_005540367.1	9541.XP_005568036.1	0	0	0	0	0.677	0	0	0.081	0.690
ASPM	MCM5	9541.XP_005540367.1	9541.XP_005567519.1	0	0	0	0	0.691	0	0	0	0.691
ASPM	MCM7	9541.XP_005540367.1	9541.XP_005549212.1	0	0	0	0	0.658	0	0	0.149	0.696
ASPM	XP_005549078.1	9541.XP_005540367.1	9541.XP_005549078.1	0	0	0	0	0.621	0.138	0	0.145	0.696
ASPM	KIF19	9541.XP_005540367.1	9541.XP_005584894.1	0	0	0	0	0.621	0.138	0	0.145	0.696
ASPM	MCM4	9541.XP_005540367.1	9541.XP_005563340.1	0	0	0	0	0.679	0	0	0.121	0.705
ASPM	ESCO2	9541.XP_005540367.1	9541.XP_005562980.1	0	0	0	0	0.675	0	0	0.135	0.706
ASPM	CDC6	9541.XP_005540367.1	9541.XP_005584144.1	0	0	0	0	0.694	0	0	0.084	0.707
ASPM	AURKC	9541.XP_005540367.1	9541.XP_005590555.1	0	0	0	0	0.645	0.073	0	0.185	0.708
