#node	identifier	category	term ID	term description
ANKRD26	9541.XP_005564890.1	GO Process	GO:0045595	Regulation of cell differentiation
ANKRD26	9541.XP_005564890.1	GO Process	GO:0045596	Negative regulation of cell differentiation
ANKRD26	9541.XP_005564890.1	GO Process	GO:0045598	Regulation of fat cell differentiation
ANKRD26	9541.XP_005564890.1	GO Process	GO:0045599	Negative regulation of fat cell differentiation
ANKRD26	9541.XP_005564890.1	GO Process	GO:0048519	Negative regulation of biological process
ANKRD26	9541.XP_005564890.1	GO Process	GO:0048523	Negative regulation of cellular process
ANKRD26	9541.XP_005564890.1	GO Process	GO:0050789	Regulation of biological process
ANKRD26	9541.XP_005564890.1	GO Process	GO:0050793	Regulation of developmental process
ANKRD26	9541.XP_005564890.1	GO Process	GO:0050794	Regulation of cellular process
ANKRD26	9541.XP_005564890.1	GO Process	GO:0051093	Negative regulation of developmental process
ANKRD26	9541.XP_005564890.1	GO Process	GO:0065007	Biological regulation
ANKRD26	9541.XP_005564890.1	GO Function	GO:0005488	Binding
ANKRD26	9541.XP_005564890.1	GO Component	GO:0005622	Intracellular
ANKRD26	9541.XP_005564890.1	GO Component	GO:0005813	Centrosome
ANKRD26	9541.XP_005564890.1	GO Component	GO:0005815	Microtubule organizing center
ANKRD26	9541.XP_005564890.1	GO Component	GO:0005856	Cytoskeleton
ANKRD26	9541.XP_005564890.1	GO Component	GO:0015630	Microtubule cytoskeleton
ANKRD26	9541.XP_005564890.1	GO Component	GO:0043226	Organelle
ANKRD26	9541.XP_005564890.1	GO Component	GO:0043228	Non-membrane-bounded organelle
ANKRD26	9541.XP_005564890.1	GO Component	GO:0043229	Intracellular organelle
ANKRD26	9541.XP_005564890.1	GO Component	GO:0043232	Intracellular non-membrane-bounded organelle
ANKRD26	9541.XP_005564890.1	GO Component	GO:0110165	Cellular anatomical entity
ANKRD26	9541.XP_005564890.1	STRING clusters	CL:31961	Mixed, incl. structural constituent of eye lens, and DNA catabolic process, endonucleolytic
ANKRD26	9541.XP_005564890.1	STRING clusters	CL:32083	Mixed, incl. DNA catabolic process, endonucleolytic, and POU-specific domain
ANKRD26	9541.XP_005564890.1	STRING clusters	CL:32084	Mixed, incl. DNA catabolic process, endonucleolytic, and POU-specific domain
ANKRD26	9541.XP_005564890.1	STRING clusters	CL:32085	Mixed, incl. DNA catabolic process, endonucleolytic, and POU-specific domain
ANKRD26	9541.XP_005564890.1	TISSUES	BTO:0000000	Tissues, cell types and enzyme sources
ANKRD26	9541.XP_005564890.1	TISSUES	BTO:0000042	Animal
ANKRD26	9541.XP_005564890.1	COMPARTMENTS	GOCC:0005622	Intracellular
ANKRD26	9541.XP_005564890.1	COMPARTMENTS	GOCC:0005813	Centrosome
ANKRD26	9541.XP_005564890.1	COMPARTMENTS	GOCC:0005815	Microtubule organizing center
ANKRD26	9541.XP_005564890.1	COMPARTMENTS	GOCC:0005856	Cytoskeleton
ANKRD26	9541.XP_005564890.1	COMPARTMENTS	GOCC:0015630	Microtubule cytoskeleton
ANKRD26	9541.XP_005564890.1	COMPARTMENTS	GOCC:0043226	Organelle
ANKRD26	9541.XP_005564890.1	COMPARTMENTS	GOCC:0043228	Non-membrane-bounded organelle
ANKRD26	9541.XP_005564890.1	COMPARTMENTS	GOCC:0043229	Intracellular organelle
ANKRD26	9541.XP_005564890.1	COMPARTMENTS	GOCC:0043232	Intracellular non-membrane-bounded organelle
ANKRD26	9541.XP_005564890.1	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
ANKRD26	9541.XP_005564890.1	UniProt Keywords	KW-0040	ANK repeat
ANKRD26	9541.XP_005564890.1	UniProt Keywords	KW-0175	Coiled coil
ANKRD26	9541.XP_005564890.1	Pfam	PF00023	Ankyrin repeat
ANKRD26	9541.XP_005564890.1	Pfam	PF12001	Domain of unknown function (DUF3496)
ANKRD26	9541.XP_005564890.1	Pfam	PF12796	Ankyrin repeats (3 copies)
ANKRD26	9541.XP_005564890.1	Pfam	PF13606	Ankyrin repeat
ANKRD26	9541.XP_005564890.1	Pfam	PF13637	Ankyrin repeats (many copies)
ANKRD26	9541.XP_005564890.1	Pfam	PF13857	Ankyrin repeats (many copies)
ANKRD26	9541.XP_005564890.1	Pfam	PF14915	CCDC144C protein coiled-coil region
ANKRD26	9541.XP_005564890.1	InterPro	IPR002110	Ankyrin repeat
ANKRD26	9541.XP_005564890.1	InterPro	IPR020683	Ankyrin repeat-containing domain
